id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
91,U-X Channel,"Jangan pernah ngaku salah bila kau benar2 tidak bersalah Jes.. Walaupun pendapat bang Hotman benar tetaplah pada pendirianmu dri awal.. Jangan ngaku bersalah.. Serahkan kepada Tuhan seluruh masalah ini.. Karena pengadilan Tuhan lebih menyakitkan yg suatu saat akan mereka Terima.. Gusti Allah mboten sare Jes.. Sabar ya Jess.. Banyak kok yg membelamu.. Gw juga di tahun 2016 gk respect dengan persidanganmu saat itu.. Gw paham berapa sakitnya teman yg kita sayangi tewas didepan kita sendiri padahal bukan kita yg membunuhnya.. Otomatis bingung, terdiam dan pasrah dengan keadaan.. Arif, Hani dan bokap mirna saat itu tidak ada gurat wajah kesedihan soal kematian mirna sama sekali.. Adapun mereka pura2 menolong mirna hanyalah sandiwara",UgwuKFP8xewaonqD6oN4AaABAg,,6,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwuKFP8xewaonqD6oN4AaABAg,10/5/2023 6:46,0,"Jangan pernah ngaku salah bila kau benar2 tidak bersalah Jes.. Walaupun pendapat bang Hotman benar tetaplah pada pendirianmu dri awal.. Jangan ngaku bersalah.. Serahkan kepada Tuhan seluruh masalah ini.. Karena pengadilan Tuhan lebih menyakitkan yg suatu saat akan mereka Terima.. Gusti Allah mboten sare Jes.. Sabar ya Jess.. Banyak kok yg membelamu.. Gw juga di tahun 2016 gk respect dengan persidanganmu saat itu.. Gw paham berapa sakitnya teman yg kita sayangi tewas didepan kita sendiri padahal bukan kita yg membunuhnya.. Otomatis bingung, terdiam dan pasrah dengan keadaan.. Arif, Hani dan bokap mirna saat itu tidak ada gurat wajah kesedihan soal kematian mirna sama sekali.. Adapun mereka pura2 menolong mirna hanyalah sandiwara",http://www.youtube.com/channel/UCFobAA2yB7XsQg6IhpESkuw
92,sm tha,Yang baru ngikutin berita ini krn naik lagi pasti pada ngebela dan kasihan sama jesica 🤣🤣,Ugw2DxIpSxffkk_vRUB4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw2DxIpSxffkk_vRUB4AaABAg,10/5/2023 6:36,2,Yang baru ngikutin berita ini krn naik lagi pasti pada ngebela dan kasihan sama jesica 🤣🤣,http://www.youtube.com/channel/UCQRGZCD_kgbau8D7uYHygSQ
93,Balbina,Sdh ada pencerahan… kalo dulu kan msh gelap… msh pada bodoh…,Ugw2DxIpSxffkk_vRUB4AaABAg.9vUPGgOvxq79vUa6bRZLCi,sm tha,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw2DxIpSxffkk_vRUB4AaABAg.9vUPGgOvxq79vUa6bRZLCi,10/5/2023 8:20,0,Sdh ada pencerahan… kalo dulu kan msh gelap… msh pada bodoh…,http://www.youtube.com/channel/UC95vrN6KPDekkH1zpI4YPaw
94,madao,"Beda generasi, dulu emak² korban sinetron dan drama yg nonton gak detail dan malah gak ngeh sama racun yg gak ada",Ugw2DxIpSxffkk_vRUB4AaABAg.9vUPGgOvxq79vUQcEei5KO,sm tha,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw2DxIpSxffkk_vRUB4AaABAg.9vUPGgOvxq79vUQcEei5KO,10/5/2023 6:48,0,"Beda generasi, dulu emak² korban sinetron dan drama yg nonton gak detail dan malah gak ngeh sama racun yg gak ada",http://www.youtube.com/channel/UC3KS5wN7wJG3vsbNjZmM0Bw
95,Galenka Jessi,"Ajukan grasi sama aja mengaku salah. Menghirup udara bebas tp sakitnya tuh dihati kena bullyan diluar . Mendingan sabar aja dan tetap berkelakuan baik kan ada remisi ""tiap tahunnya .",UgxW1dii6jQxfoK7tgF4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxW1dii6jQxfoK7tgF4AaABAg,10/5/2023 6:36,0,"Ajukan grasi sama aja mengaku salah. Menghirup udara bebas tp sakitnya tuh dihati kena bullyan diluar . Mendingan sabar aja dan tetap berkelakuan baik kan ada remisi ""tiap tahunnya .",http://www.youtube.com/channel/UC-w4Hx08PV6l_ihICT1Ngww
96,Agus S,"dari persidangan terbukti tidak ada yang melakukan itu kecuali J, yaitu J mengakui saat kopi tiba di meja, masih berupa kopi "" ini kopi apa kok harum sekali "" dijawab "" robusta "" oleh pelayan. saksl ahli dari J juga menyatakan sianida disiram air panas bisa menghasilkan gas dg bau khusus. Lalu sejak itu hingga mirna minum dan mati, gelas kopi tersebut hanya dikuasai oleh J (terlihat di cctv).",UgyV6kMwCqHx-BGOYeJ4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyV6kMwCqHx-BGOYeJ4AaABAg,10/5/2023 6:30,0,"dari persidangan terbukti tidak ada yang melakukan itu kecuali J, yaitu J mengakui saat kopi tiba di meja, masih berupa kopi "" ini kopi apa kok harum sekali "" dijawab "" robusta "" oleh pelayan. saksl ahli dari J juga menyatakan sianida disiram air panas bisa menghasilkan gas dg bau khusus. Lalu sejak itu hingga mirna minum dan mati, gelas kopi tersebut hanya dikuasai oleh J (terlihat di cctv).",http://www.youtube.com/channel/UCUmW9qAyTNiedto109BIYHA
97,L Muhdar,Emang hukum di Indonesia ini gila uang segalanya ..udah basi Hotman ga da gunanya kau ngomong..ingat hukum karma itu berlaku.,UgzKcCe06Qjgu0gyLxN4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzKcCe06Qjgu0gyLxN4AaABAg,10/5/2023 6:29,0,Emang hukum di Indonesia ini gila uang segalanya ..udah basi Hotman ga da gunanya kau ngomong..ingat hukum karma itu berlaku.,http://www.youtube.com/channel/UCK9AYKWFO1pgtIKQFWxLWUg
98,Lumbantoruan Marudut,Tuhan tau Jessica mampu melalui semua cobaan ini .,UgxyvUHzn7_Bem_FBbZ4AaABAg,,7,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxyvUHzn7_Bem_FBbZ4AaABAg,10/5/2023 6:20,0,Tuhan tau Jessica mampu melalui semua cobaan ini .,http://www.youtube.com/channel/UCkTGCaYPnPWPud_ZJKXnCtw
99,ASURANSI KESEHATAN TERBAIK,Kasian jessica sih,Ugw5MnYL2nYidkZKaW14AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw5MnYL2nYidkZKaW14AaABAg,10/5/2023 6:19,0,Kasian jessica sih,http://www.youtube.com/channel/UCpTLIP4rDqBEiuE9ulg260A
100,Farhand Prj,Si sambo pnya kerja,UgwJx578Hy3pe5Q_b4Z4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwJx578Hy3pe5Q_b4Z4AaABAg,10/5/2023 6:06,0,Si sambo pnya kerja,http://www.youtube.com/channel/UCG34C35KLweXBBlUOWuF6kg
101,"by""ncv 5belt""",Jesica korban fitnah kasian bnget..moga2 dia dibebaskan,UgxZalAICkvvzsX9S2N4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxZalAICkvvzsX9S2N4AaABAg,10/5/2023 6:04,0,Jesica korban fitnah kasian bnget..moga2 dia dibebaskan,http://www.youtube.com/channel/UCWm_ONQ7RjN8Lkmo7Xd6-Bw
102,fendi2702,mengaku bersalah walaupun tidak bersalah? Bagaimana memperbaiki nama lagi kalau sudah mengaku bersalah?,UgwhYLkV4F6Bl4nTBZl4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwhYLkV4F6Bl4nTBZl4AaABAg,10/5/2023 5:57,0,mengaku bersalah walaupun tidak bersalah? Bagaimana memperbaiki nama lagi kalau sudah mengaku bersalah?,http://www.youtube.com/channel/UCY1OlsdnP0D1gsObC8xTicw
103,Muhammad Adam,"Wadoooohhhhh parah parah kena prank nya Jessica ,",Ugws--FGRNpRLwahDMl4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugws--FGRNpRLwahDMl4AaABAg,10/5/2023 5:37,0,"Wadoooohhhhh parah parah kena prank nya Jessica ,",http://www.youtube.com/channel/UCtDHAJlfe-AN8BbIpVFwKMw
104,Mega Tobing,"Ikutin ajalah Jessica apa dibilang pak Hotman wlu Jessica tidak masukin sianida ke minuman alm Mirna. Dimata manusia Jessica dianggep bunuh Mirna dan bersalah, ga apa2 peduli amat orang2 yg menyalahkan Jessica. Yg penting dimata Tuhan Jessica tidak bersalah.",UgyhYJQadT793qPDjsd4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyhYJQadT793qPDjsd4AaABAg,10/5/2023 5:33,3,"Ikutin ajalah Jessica apa dibilang pak Hotman wlu Jessica tidak masukin sianida ke minuman alm Mirna. Dimata manusia Jessica dianggep bunuh Mirna dan bersalah, ga apa2 peduli amat orang2 yg menyalahkan Jessica. Yg penting dimata Tuhan Jessica tidak bersalah.",http://www.youtube.com/channel/UC2TrOmvAiMQA-CZg1Mq55JA
105,Balbina,Kalo ajukan grasi cap pembunuh akan melekat seumur hidup meskipun kenyataanya tidak membunuh.,UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vU_cPxKckJ,Mega Tobing,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vU_cPxKckJ,10/5/2023 8:15,0,Kalo ajukan grasi cap pembunuh akan melekat seumur hidup meskipun kenyataanya tidak membunuh.,http://www.youtube.com/channel/UC95vrN6KPDekkH1zpI4YPaw
106,Balbina,Kalo ajukan cap pembunuh akan melekat seumur hidup.,UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vU_VTPAARa,Mega Tobing,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vU_VTPAARa,10/5/2023 8:14,0,Kalo ajukan cap pembunuh akan melekat seumur hidup.,http://www.youtube.com/channel/UC95vrN6KPDekkH1zpI4YPaw
107,Galenka Jessi,Tiap tahun dapat remisi mendingan jalani drpd mengaku salah atas perbuatan yg TDK dia lakukan.,UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vUPlXz7Bok,Mega Tobing,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyhYJQadT793qPDjsd4AaABAg.9vUHyhWRQor9vUPlXz7Bok,10/5/2023 6:41,0,Tiap tahun dapat remisi mendingan jalani drpd mengaku salah atas perbuatan yg TDK dia lakukan.,http://www.youtube.com/channel/UC-w4Hx08PV6l_ihICT1Ngww
108,betty panggabean,God bless jess..km tdk salah❤❤,UgzLJn_54o9FIXOmXSN4AaABAg,,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzLJn_54o9FIXOmXSN4AaABAg,10/5/2023 5:26,0,God bless jess..km tdk salah❤❤,http://www.youtube.com/channel/UCBmL7bYmNNQQ5HwTYooH-0Q
109,Eyang Kakung,"😢😢😢😢😢 Jadi ikut sedih setiap lihat wajah Jessica N Mamanya,,, ""ORANG BENAR YANG DI HARUSKAN SALAH\'! Gila bener Hukum di Negeri ini!!",Ugy3Ncc_m-EL5wybSR54AaABAg,,7,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy3Ncc_m-EL5wybSR54AaABAg,10/5/2023 5:06,0,"😢😢😢😢😢 Jadi ikut sedih setiap lihat wajah Jessica N Mamanya,,, ""ORANG BENAR YANG DI HARUSKAN SALAH\'! Gila bener Hukum di Negeri ini!!",http://www.youtube.com/channel/UCnSfZOuJq4zvNFmHebuSyWQ
110,Mala Amelia,mngkn kasus ini kebuka viral lg krn kebenaran yg sesungguhnya blm terungkap,UgzgXy7D1SeK3IyartR4AaABAg,,2,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgzgXy7D1SeK3IyartR4AaABAg,10/5/2023 4:57,0,mngkn kasus ini kebuka viral lg krn kebenaran yg sesungguhnya blm terungkap,http://www.youtube.com/channel/UCG07_PGSNogNAtQLOYQ12Xw
111,You and Me,"Siapa yg disini sering nonton JB Story kisah nyata,rata² kasus diluar negri. Ada kasus seperti ini. Tidak bersalah tp dituduh bersalah dan dihukum lama, kasus dibuka lagi,krn ada kejanggalan.Akhirnya terbukti tidak bersalah,lalu dibebaskan dan diberi uang ganti rugi bermilyar². Tapi tidak dgn cara seperti yg hotman paris sarankan,disuruh mengaku ,gila x ya....",UgyQkPBxmb7o7b39Jp14AaABAg,,4,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyQkPBxmb7o7b39Jp14AaABAg,10/5/2023 4:54,1,"Siapa yg disini sering nonton JB Story kisah nyata,rata² kasus diluar negri. Ada kasus seperti ini. Tidak bersalah tp dituduh bersalah dan dihukum lama, kasus dibuka lagi,krn ada kejanggalan.Akhirnya terbukti tidak bersalah,lalu dibebaskan dan diberi uang ganti rugi bermilyar². Tapi tidak dgn cara seperti yg hotman paris sarankan,disuruh mengaku ,gila x ya....",http://www.youtube.com/channel/UCJv9ZWS2ubAFRtjJlnkn9UQ
112,Syifa Elfath,"Mgkn tiap negara beda hukumnya? Di indo gini cara mainnya? Kalau mungkin ada pelaku lain, dan tertangkap, dg cara itu mungkin baru jesica bisa bebas dan kembali baik namanya",UgyQkPBxmb7o7b39Jp14AaABAg.9vUDX_u99vi9vYXh0aqHqW,You and Me,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyQkPBxmb7o7b39Jp14AaABAg.9vUDX_u99vi9vYXh0aqHqW,10/6/2023 21:07,0,"Mgkn tiap negara beda hukumnya? Di indo gini cara mainnya? Kalau mungkin ada pelaku lain, dan tertangkap, dg cara itu mungkin baru jesica bisa bebas dan kembali baik namanya",http://www.youtube.com/channel/UCKnkNfcbjVfRJdbLGQVOVog
113,Yohanes Erik,Tolong donk bebaskan Jesica dong THN pasti GK TDR aku yakin Jesica GK salah,UgwSuRQhMLQiwQKJrZJ4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwSuRQhMLQiwQKJrZJ4AaABAg,10/5/2023 4:50,0,Tolong donk bebaskan Jesica dong THN pasti GK TDR aku yakin Jesica GK salah,http://www.youtube.com/channel/UCaz68MR7IfEzgPGf6OjvmVQ
114,kat kam,"Kalau merasa ngak bersalah ngapain mengaku, walaupun hukuman 100 tahun, ngak harus mengaku, saran hotman adalah sebuah jebakan, biar orang"" yg berbuat curang di belang Aman""",Ugy2vuDJTC6hZI_C3aZ4AaABAg,,26,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg,10/5/2023 4:01,27,"Kalau merasa ngak bersalah ngapain mengaku, walaupun hukuman 100 tahun, ngak harus mengaku, saran hotman adalah sebuah jebakan, biar orang"" yg berbuat curang di belang Aman""",http://www.youtube.com/channel/UC6VyUAAzgvjPqgGwoyTpPRQ
115,OuR ChanneL,pura2 ngaku aja...udah jelas kok emang dia ngak ngeracun tu mirna...forensik aja udah memastikan mirna nga keracunan sianida...ntah tu bapak mirna dendam ama jes kerna nga ngasi apem kali..😓😓,Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vZN_VVoOGz,kat kam,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vZN_VVoOGz,10/7/2023 4:58,0,pura2 ngaku aja...udah jelas kok emang dia ngak ngeracun tu mirna...forensik aja udah memastikan mirna nga keracunan sianida...ntah tu bapak mirna dendam ama jes kerna nga ngasi apem kali..😓😓,http://www.youtube.com/channel/UCMK1HGJk-qyBqZ1l7x1kZxg
116,Rudi Hartono,Kan jesika kan tetep gak mengaku.siapa yg bilang mengaku😂😂😂😂😂😂,Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYlWSe24HT,kat kam,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYlWSe24HT,10/6/2023 23:16,0,Kan jesika kan tetep gak mengaku.siapa yg bilang mengaku😂😂😂😂😂😂,http://www.youtube.com/channel/UCGUf_46sprBLq9enHf928Ng
117,emaknya tary,"Lah yg ngaku siapa? Jesica nggk mengakui,dia lbi baik dihukum seumur hidup daripada mengakui sesuatu yang tidak dia lakukan",Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYg1r8Q-vK,kat kam,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYg1r8Q-vK,10/6/2023 22:28,0,"Lah yg ngaku siapa? Jesica nggk mengakui,dia lbi baik dihukum seumur hidup daripada mengakui sesuatu yang tidak dia lakukan",http://www.youtube.com/channel/UCcCqp0k5S6-P8REd1Msadew
118,Cokro Hendriansa,​@Kitty Chijawaban logis dan cerdas,Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vY_qHLNDpF,kat kam,0,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vY_qHLNDpF,10/6/2023 21:34,0,​@Kitty Chijawaban logis dan cerdas,http://www.youtube.com/channel/UCzbBiEGDt4kkj20imLhbYLA
119,Syifa Elfath,"Sygnya cuma opsi ini ya yg ada? Kalau pelaku sebenernya tertangkap, bukannya jesica bisa bebas? Tp ntah pula kalau aslinya meninggal karena sakit, kan jadi ga ada pelakunya, syg ga di autopsi secara menyeluruh 😢",Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYXHenjWtI,kat kam,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugy2vuDJTC6hZI_C3aZ4AaABAg.9vU7Y0G1Muc9vYXHenjWtI,10/6/2023 21:03,0,"Sygnya cuma opsi ini ya yg ada? Kalau pelaku sebenernya tertangkap, bukannya jesica bisa bebas? Tp ntah pula kalau aslinya meninggal karena sakit, kan jadi ga ada pelakunya, syg ga di autopsi secara menyeluruh 😢",http://www.youtube.com/channel/UCKnkNfcbjVfRJdbLGQVOVog
120,ning. sexi,"Untuk jesica "" Indah tepat pada waktu nya """,Ugw_uPwNxKR1XHGGLCZ4AaABAg,,2,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugw_uPwNxKR1XHGGLCZ4AaABAg,10/5/2023 4:00,0,"Untuk jesica "" Indah tepat pada waktu nya """,http://www.youtube.com/channel/UCFBDgt-mamLxW8bQTsMxivQ
121,azizah nurrahma,"Masih hangat ya,pdhl kasus lama sekali",Ugx1M90FSUxUapeoL1x4AaABAg,,2,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugx1M90FSUxUapeoL1x4AaABAg,10/5/2023 3:56,0,"Masih hangat ya,pdhl kasus lama sekali",http://www.youtube.com/channel/UCyLj-GHnD69ph3MiycucdCA
122,Dedah Jaja,Semoga ada ajaiban dari tuhan,UgxKsUIipe1mkgkEySZ4AaABAg,,4,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgxKsUIipe1mkgkEySZ4AaABAg,10/5/2023 3:56,0,Semoga ada ajaiban dari tuhan,http://www.youtube.com/channel/UCSOAI-O0p5UbJ6KDkYBRVGw
123,Syawal Wal0852,#justiceforjessica,UgyXWVba17dlwnvJDCR4AaABAg,,2,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyXWVba17dlwnvJDCR4AaABAg,10/5/2023 3:47,0,#justiceforjessica,http://www.youtube.com/channel/UCGlZsrZp5r-W7nfQRtivkMA
124,Huta Galung,Hotman. Semanat. Terus. Tapi. Bantu. Dong. Ok,UgypNrUKBr8OpftdR0l4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgypNrUKBr8OpftdR0l4AaABAg,10/5/2023 3:46,0,Hotman. Semanat. Terus. Tapi. Bantu. Dong. Ok,http://www.youtube.com/channel/UCoaNqOcVmRa7_I04Z6S9HFA
125,dwiwinarni. winarni,Tuhan gk tidur jes smga kebenaran bkl terungkap,UgyIbcxNp--4ttuxCS54AaABAg,,6,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyIbcxNp--4ttuxCS54AaABAg,10/5/2023 3:37,0,Tuhan gk tidur jes smga kebenaran bkl terungkap,http://www.youtube.com/channel/UCi57gpJWPwkAPuYICzpoDvw
126,Bunda Nayla Nayla,"orang yg menghancurkanmu.,adalah orang terdekatmu",UgwLTt5dsx_E_GNPs394AaABAg,,5,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwLTt5dsx_E_GNPs394AaABAg,10/5/2023 3:31,0,"orang yg menghancurkanmu.,adalah orang terdekatmu",http://www.youtube.com/channel/UCZowHrDbxgcNejCDQER9ZUA
127,Pcall Lyrics,Banyak yg bermain di kasus Jessica...,Ugzp7oKIZPknSKgKo5F4AaABAg,,7,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=Ugzp7oKIZPknSKgKo5F4AaABAg,10/5/2023 3:31,0,Banyak yg bermain di kasus Jessica...,http://www.youtube.com/channel/UC1GPbpfs1JlXV0KcCpxmBRw
128,Adzrazhafina Azizaniransyah,🤔🤔🤔🤔🤔🤔,UgwuceLsEvUwWJN71_h4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgwuceLsEvUwWJN71_h4AaABAg,10/5/2023 3:28,0,🤔🤔🤔🤔🤔🤔,http://www.youtube.com/channel/UC3O-Uh8vx07MEvSnc1DqwlA
129,ricki saputra,Hmmm,UgyirJK0zNk7YRPFxcx4AaABAg,,1,https://www.youtube.com/watch?v=gyEi5CC9JXI&lc=UgyirJK0zNk7YRPFxcx4AaABAg,10/5/2023 3:05,0,Hmmm,http://www.youtube.com/channel/UCTc1cwvrCoRTIYitP13WpVA
